id,name,kabupaten_id/id,state_id/id
kecamatan_id_1,GAMBIR,kabupaten_id_1,base.state_id_jk
kecamatan_id_2,TANAH ABANG,kabupaten_id_1,base.state_id_jk
kecamatan_id_3,MENTENG,kabupaten_id_1,base.state_id_jk
kecamatan_id_4,SENEN,kabupaten_id_1,base.state_id_jk
kecamatan_id_5,CEMPAKA PUTIH,kabupaten_id_1,base.state_id_jk
kecamatan_id_6,JOHAR BARU,kabupaten_id_1,base.state_id_jk
kecamatan_id_7,KEMAYORAN,kabupaten_id_1,base.state_id_jk
kecamatan_id_8,SAWAH BESAR,kabupaten_id_1,base.state_id_jk
kecamatan_id_9,TAMAN SARI,kabupaten_id_2,base.state_id_jk
kecamatan_id_10,TAMBORA,kabupaten_id_2,base.state_id_jk
kecamatan_id_11,PALMERAH,kabupaten_id_2,base.state_id_jk
kecamatan_id_12,GROGOL PETAMBURAN,kabupaten_id_2,base.state_id_jk
kecamatan_id_13,KEBON JERUK,kabupaten_id_2,base.state_id_jk
kecamatan_id_14,KEMBANGAN,kabupaten_id_2,base.state_id_jk
kecamatan_id_15,CENGKARENG,kabupaten_id_2,base.state_id_jk
kecamatan_id_16,KALIDERES,kabupaten_id_2,base.state_id_jk
kecamatan_id_17,KEBAYORAN BARU,kabupaten_id_3,base.state_id_jk
kecamatan_id_18,KEBAYORAN LAMA,kabupaten_id_3,base.state_id_jk
kecamatan_id_19,PESANGGRAHAN,kabupaten_id_3,base.state_id_jk
kecamatan_id_20,CILANDAK,kabupaten_id_3,base.state_id_jk
kecamatan_id_21,PASAR MINGGU,kabupaten_id_3,base.state_id_jk
kecamatan_id_22,JAGAKARSA,kabupaten_id_3,base.state_id_jk
kecamatan_id_23,MAMPANG PRAPATAN,kabupaten_id_3,base.state_id_jk
kecamatan_id_24,PANCORAN,kabupaten_id_3,base.state_id_jk
kecamatan_id_25,TEBET,kabupaten_id_3,base.state_id_jk
kecamatan_id_26,SETIA BUDI,kabupaten_id_3,base.state_id_jk
kecamatan_id_27,MATRAMAN,kabupaten_id_4,base.state_id_jk
kecamatan_id_28,PULO GADUNG,kabupaten_id_4,base.state_id_jk
kecamatan_id_29,JATINEGARA,kabupaten_id_4,base.state_id_jk
kecamatan_id_30,DUREN SAWIT,kabupaten_id_4,base.state_id_jk
kecamatan_id_31,KRAMAT JATI,kabupaten_id_4,base.state_id_jk
kecamatan_id_32,MAKASAR,kabupaten_id_4,base.state_id_jk
kecamatan_id_33,PASAR REBO,kabupaten_id_4,base.state_id_jk
kecamatan_id_34,CIRACAS,kabupaten_id_4,base.state_id_jk
kecamatan_id_35,CIPAYUNG,kabupaten_id_4,base.state_id_jk
kecamatan_id_36,CAKUNG,kabupaten_id_4,base.state_id_jk
kecamatan_id_37,CILINCING,kabupaten_id_5,base.state_id_jk
kecamatan_id_38,KOJA,kabupaten_id_5,base.state_id_jk
kecamatan_id_39,KELAPA GADING,kabupaten_id_5,base.state_id_jk
kecamatan_id_40,TANJUNG PRIOK,kabupaten_id_5,base.state_id_jk
